microtrait_rule-name	microtrait_rule-boolean
methylH4SPT+CoM->methylCoM+methylH4MPT_or	('tmtrA' | 'tmtrB' | 'tmtrC' | 'tmtrD' | 'tmtrE' | 'tmtrF' | 'tmtrG' | 'tmtrH')
methylCoM+CoB->CoM+CH4_and	('mcrA' & 'mcrB' & 'mcrG' & 'mcr2') | ('mcrC' & 'mcrD')
methylCoM+CoB->CoM+CH4_or	('mcrA' | 'mcrB' | 'mcrG' | 'mcr2' | 'mcrC' | 'mcrD')
methanogenesis_key	('mcrA')
acetate->CH4	(('acetate->acetyl-CoA' & 'cdhC') & ('methylH4SPT+CoM->methylCoM+methylH4MPT_or') & ('methylCoM+CoB->CoM+CH4_or'))
acetoclastic methanogenesis_full	('acetyl-P<->acetate' & 'acetyl-P->acetyl-CoA' & 'acetyl-CoA+methylH4MPT->methylH4SPT+CO_full' & 'methylH4SPT+CoM->methylCoM+methylH4MPT_or' & 'methylCoM+CoB->CoM+CH4_or')
acetoclastic methanogenesis_partial	('acetyl-P<->acetate' | 'acetyl-P->acetyl-CoA' | 'acetyl-CoA+methylH4MPT->methylH4SPT+CO_full' | 'methylH4SPT+CoM->methylCoM+methylH4MPT_or' | 'methylCoM+CoB->CoM+CH4_or')
acetoclastic methanogenesis_key	('acetyl-CoA+methylH4MPT->methylH4SPT+CO_partial')
MF+CO2->formylMF_and	(('fwdA' & 'fwdB' & 'fwdC' & 'fwdD' & 'fwdF' & 'fwdH') | ('fwdG' & 'fwdE'))
MF+CO2->formylMF_or	('fwdA' | 'fwdB' | 'fwdC' | 'fwdD' | 'fwdF' | 'fwdH' | 'fwdG' | 'fwdE')
formylMF+H4MPT->MF+formylH4MPT	('ftr')
formylH4MPT->methenylH4MPT	('mtdch')
methenylH4MPT->methyleneH4MPT	('hmd')
methyleneH4MPT->methyl-H4SPT	('mer')
hydrogenotrophic methanogenesis_full	(('MF+CO2->formylMF_or') & ('formylMF+H4MPT->MF+formylH4MPT') & ('formylH4MPT->methenylH4MPT') & ('methenylH4MPT->methyleneH4MPT'))
hydrogenotrophic methanogenesis_full1	(('MF+CO2->formylMF_or') & ('formylMF+H4MPT->MF+formylH4MPT') & ('formylH4MPT->methenylH4MPT') & ('methenylH4MPT->methyleneH4MPT') & ('methyleneH4MPT->methyl-H4SPT'))
hydrogenotrophic methanogenesis_partial	(('MF+CO2->formylMF_or') | ('formylMF+H4MPT->MF+formylH4MPT') | ('formylH4MPT->methenylH4MPT') | ('methenylH4MPT->methyleneH4MPT'))
hydrogenotrophic methanogenesis_partial1	(('MF+CO2->formylMF_or') | ('formylMF+H4MPT->MF+formylH4MPT') | ('formylH4MPT->methenylH4MPT') | ('methenylH4MPT->methyleneH4MPT') | ('methyleneH4MPT->methyl-H4SPT'))
hydrogenotrophic methanogenesis_key	(('methyleneH4MPT->methyl-H4SPT') | ('methylH4SPT+CoM->methylCoM+methylH4MPT_or') | ('methylCoM+CoB->CoM+CH4_or'))
methanol->methylCoM_and	('mtaB' & 'mtaC')
methanol->methylCoM_or	('mtaB' | 'mtaC')
methanol->methane methanogenesis	('methanol->methylCoM_or' & 'methylCoM+CoB->CoM+CH4_or')
hydrogenotrophic methanogenesis	('ftr' & 'mtdch' & 'mtd' & 'mer')
TMAO->trimethylamine	('torA' | 'torZ' | 'torC' | 'torY')
trimethylamine->methylCoM-direct_and	('mtbA' & 'mttB' & 'mttC')
trimethylamine->methylCoM-direct_or	('mtbA' | 'mttB' | 'mttC')
dimethylamine->methylCoM-direct_and	('mtbA' & 'mtbB' & 'mtbC')
dimethylamine->methylCoM-direct_or	('mtbA' | 'mtbB' | 'mtbC')
monomethylamine->methylCoM-direct_and	('mtbA' & 'mtmB' & 'mtmC')
monomethylamine->methylCoM-direct_or	('mtbA' | 'mtmB' | 'mtmC')
trimethylamine->dimethylamine	('dmd-tmd')
dimethylamine->monomethylamine	('dmd-tmd')
