"rule-name"	"rule-boolean"
"pyruvate+HCO3->oxaloacetate"	"('pyc' & 'pycA' & 'pycB')"
"pyruvate->acetyl-CoA+formate"	"('pflD')"
"acetyl-CoA->acetoacetyl-CoA"	"('atoB')"
"acetoacetyl-CoA->3-hydroxybutyryl-CoA-NADP+"	"('hbd')"
"acetoacetyl-CoA->3-hydroxybutyryl-CoA-NAD+"	"('cch-hbcd')"
"3-hydroxybutyryl-CoA->crotonoyl-CoA"	"('crt' | 'echA' | 'fadB' | 'fadJ' | 'hadha' | 'echs1' | 'ehhadh')"
"crotonoyl-CoA->butyryl-Coa"	"('bcd')"
"acetoacetyl-CoA->butyryl-CoA"	"((('hbd')) & (('crt' | 'echA' | 'fadB' | 'fadJ' | 'hadha' | 'echs1' | 'ehhadh')) & (('bcd')))"
"butyryl-CoA->butanoyl phosphate"	"('ptb')"
"butanoyl phosphate->butanoate"	"('buk')"
"pyruvate->butanoate"	"((('pflD')) & (('buk')))"
"butyryl-CoA->butanoate"	"((('ptb')) & (('buk')))"
"pyruvate->butanol"	"((('pflD')) & (('bdhAB')))"
"butyraldehyde->butanol"	"('bdhAB')"
"acetoacetyl-CoA->butanoate"	"((((('hbd')) & (('crt' | 'echA' | 'fadB' | 'fadJ' | 'hadha' | 'echs1' | 'ehhadh')) & (('bcd')))) & (((('ptb')) & (('buk')))))"
"acetoacetyl-CoA->butanol"	"((((('hbd')) & (('crt' | 'echA' | 'fadB' | 'fadJ' | 'hadha' | 'echs1' | 'ehhadh')) & (('bcd')))) & (('bdhAB')))"
"acetoacetyl-CoA->acetoacetate"	"('atoA' | 'atoD' | 'ydiF')"
"acetoacetate->acetone"	"('adc')"
"acetone->isopropanol"	"('isopadh')"
"acetoacetyl-CoA->acetone"	"((('atoA' | 'atoD' | 'ydiF')) & (('adc')))"
"acetoacetyl-CoA->isopropanol"	"((('atoA' | 'atoD' | 'ydiF')) & (('adc')) & (('isopadh')))"
"pyruvate->acetolactate"	"('aclSlarge' | 'aclSsmall_1' | 'aclSsmall_2')"
"acetolactate->acetoin"	"('alsD')"
"acetoin->butyleneglycol"	"('butB')"
"pyruvate->butyleneglycol"	"((('aclSlarge' | 'aclSsmall_1' | 'aclSsmall_2')) & (('alsD')) & (('butB')))"
